-0.5	0.5	0.1	-0.5	0.5	0.1	2.1	2.9
-0.4	0.6	0.1	-0.5	0.5	0.1	2.1	2.9
-0.3	0.7	0.1	-0.5	0.5	0.1	2.1	2.9
-0.2	0.8	0.1	-0.5	0.5	0.1	2.1	2.9
-0.1	0.9	0.1	-0.5	0.5	0.1	2.1	2.9
-0.05	0.95	0.1	-0.5	0.5	0.1	2.1	2.9
-0.025	0.975	0.1	-0.5	0.5	0.1	2.1	2.9
-0.01	0.99	0.1	-0.5	0.5	0.1	2.1	2.9
0.0	1.0	0.1	-0.5	0.5	0.1	2.1	2.9
0.01	1.01	0.1	-0.5	0.5	0.1	2.1	2.9
0.025	1.025	0.1	-0.5	0.5	0.1	2.1	2.9
0.05	1.05	0.1	-0.5	0.5	0.1	2.1	2.9
0.1	1.1	0.1	-0.5	0.5	0.1	2.1	2.9
0.2	1.2	0.1	-0.5	0.5	0.1	2.1	2.9
0.3	1.3	0.1	-0.5	0.5	0.1	2.1	2.9
0.4	1.4	0.1	-0.5	0.5	0.1	2.1	2.9
0.5	1.5	0.1	-0.5	0.5	0.1	2.1	2.9
0.6	1.6	0.1	-0.5	0.5	0.1	2.1	2.9
